"No connection test has been performed yet. Click ""Test Connection"" after entering your credentials.","No connection test has been performed yet. Click ""Test Connection"" after entering your credentials."
message,message
"Syncronize Now","Syncronize Now"
"Syncing data...","Syncing data..."
"Data synchronization failed","Data synchronization failed"
"No synchronisation necessary, everything is up to date.","No synchronisation necessary, everything is up to date."
"Test Connection","Test Connection"
"Testing connection...","Testing connection..."
"Missing configuration: Please set Personal Access Token and Shop UUID","Missing configuration: Please set Personal Access Token and Shop UUID"
"Connection test failed","Connection test failed"
"Error testing connection: %1","Error testing connection: %1"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Successfully synchronized data with Leat","Successfully synchronized data with Leat"
"Error syncing data: %1","Error syncing data: %1"
"An unexpected error occurred: %1","An unexpected error occurred: %1"
"Gift Product SKUs","Gift Product SKUs"
"Add as gifts","Add as gifts"
"Add the following products as gifts: %1","Add the following products as gifts: %1"
"Enter comma-separated SKUs. For configurable products, you can specify the simple product SKU.","Enter comma-separated SKUs. For configurable products, you can specify the simple product SKU."
"Customer Has Leat Reward","Customer Has Leat Reward"
"Customer has active Leat reward","Customer has active Leat reward"
"Customer has active Leat Loyalty reward","Customer has active Leat Loyalty reward"
"Add gift products to cart","Add gift products to cart"
"Successfully connected to Leat API.\n Company: %1, ID: %2","Successfully connected to Leat API.\n Company: %1, ID: %2"
"Connection test failed: Unexpected response from API","Connection test failed: Unexpected response from API"
"Store not found: %1","Store not found: %1"
"Authentication failed: %1","Authentication failed: %1"
"PHP Internal error: %1","PHP Internal error: %1"
"Unexpected error: %1","Unexpected error: %1"
"Leat data synchronization needed: %1 attribute(s) missing. Please click ""Synchronize Now"" to set up all required attributes.","Leat data synchronization needed: %1 attribute(s) missing. Please click ""Synchronize Now"" to set up all required attributes."
"Validation error: %1","Validation error: %1"
"Unexpected error during validation: %1","Unexpected error during validation: %1"
"Prepaid Balance Information","Prepaid Balance Information"
"Original Grand Total","Original Grand Total"
"Prepaid Balance Applied","Prepaid Balance Applied"
"Final Grand Total","Final Grand Total"
"Note: A prepaid balance of %1 was applied to this order.","Note: A prepaid balance of %1 was applied to this order."
"Prepaid Balance","Prepaid Balance"
"Enter comma-separated product SKUs to add as gifts. For configurable products, you can use the simple product SKU.","Enter comma-separated product SKUs to add as gifts. For configurable products, you can use the simple product SKU."
"Unique UUID for customer within Leat; Field gets filled automatically and can/should not be changed.","Unique UUID for customer within Leat; Field gets filled automatically and can/should not be changed."
"-- Please Select --","-- Please Select --"
"Applied Gift Cards","Applied Gift Cards"
"Gift Card Code","Gift Card Code"
"Applied Amount","Applied Amount"
Total,Total
"Leat - Add gift products to cart","Leat - Add gift products to cart"
