"Fetch Data","Gegevens ophalen"
"Active quote not found","Actieve offerte niet gevonden"
"Could not apply coupon: %1","Kon kortingscode niet toepassen: %1"
"Could not remove coupon: %1","Kon kortingscode niet verwijderen: %1"
"Prepaid balance feature is not enabled.","Prepaid-saldofunctie is niet ingeschakeld."
"Invalid balance amount.","Ongeldig saldo bedrag."
"Unable to get quote extension attributes.","Kan offerte-uitbreidingskenmerken niet ophalen."
"Balance amount cannot be negative.","Saldo mag niet negatief zijn."
"Customer must be logged in to use prepaid balance.","Klant moet ingelogd zijn om prepaid saldo te gebruiken."
"No prepaid balance available.","Geen prepaid saldo beschikbaar."
"Requested amount exceeds available prepaid balance.","Aangevraagd bedrag overschrijdt beschikbaar prepaid saldo."
"Requested amount exceeds order total.","Aangevraagd bedrag overschrijdt totaalbedrag van de bestelling."
"An error occurred while validating prepaid balance: %1","Er is een fout opgetreden bij het valideren van het prepaid saldo: %1"
"Unable to fetch prepaid balance.","Kan prepaid saldo niet ophalen."
"We have a discount for you","We hebben een korting voor je"
"Get %1 on your first purchase!","Krijg %1 korting op je eerste aankoop!"
"Enter your email below and we will send you the discount code.","Vul hieronder je e-mailadres in en we sturen je de kortingscode."
"Get discount","Korting ontvangen"
"Thank you! Your discount code will be sent to your email.","Bedankt! Je kortingscode wordt naar je e-mail verzonden."
"50% off","50% korting"
"Use Your Prepaid Balance","Gebruik je prepaid saldo"
"Prepaid Balance First","Eerst prepaid saldo"
"Payment Method First","Eerst betaalmethode"
"Failed to retrieve access token from Leat, %1 %2","Mislukt om toegangstoken op te halen van Leat, %1 %2"
"Failed to authenticate with Leat using Personal Access Token","Verificatie met Leat mislukt via Persoonlijke Toegangstoken"
"Could not save quote item extension attributes: %1","Kon uitbreidingskenmerken van offerte-item niet opslaan: %1"
"Quote item extension attributes with item_id ""%1"" does not exist.","Uitbreidingskenmerken voor offerte-item met item_id ""%1"" bestaan niet."
"Could not delete quote item extension attributes: %1","Kon uitbreidingskenmerken van offerte-item niet verwijderen: %1"
". ': %1'",". ': %1'"
"Error validating attributes: %1","Fout bij het valideren van kenmerken: %1"
"Extension attributes for this item already exist.","Uitbreidingskenmerken voor dit item bestaan al."
"Database conflict detected. Please try again.","Databaseconflict gedetecteerd. Probeer opnieuw."
"Could not add gift product %1: %2","Kon cadeauproduct %1 niet toevoegen: %2"
"Free gift from promotion","Gratis cadeau van promotie"
"Gift from promotion (%d%% discount)","Cadeau uit promotie (%d%% korting)"
"Auth failed","Authenticatie mislukt"
"No contact found","Geen contact gevonden"
"Leat Loyalty","Leat Loyaliteit"
Sync,Sync
"Sync Leat Data","Synchroniseer Leat-gegevens"
"Synchronize data with Leat (attributes, etc.)","Synchroniseer gegevens met Leat (kenmerken, enz.)"
"Sync Status","Synchronisatiestatus"
"General Configuration","Algemene configuratie"
"Enable Leat Connection","Leat-verbinding inschakelen"
"Enable for customers in groups:","Inschakelen voor klanten in groepen:"
"<b>Customer Groups must be configured.</b></br>Not configuring groups is effectively the same as disabling the Leat Integration.</br>","<b>Klantgroepen moeten worden geconfigureerd.</b></br>Geen groepen configureren komt overeen met het uitschakelen van de Leat-integratie.</br>"
"Add on Create","Toevoegen bij aanmaken"
Connection,Verbinding
"Personal Access Token","Persoonlijke toegangstoken"
"Can be found under:</br><i>Navbar ""Apps"" > Integrations > Personal Access Token</i></br><b>Make sure to copy the token as it will not be shown again.</b></br><a href=""https://docs.piggy.eu/v3/oauth/authorization"">More Info about Personal Access Tokens</a>","Te vinden onder:</br><i>Navbar ""Apps"" > Integraties > Persoonlijke toegangstoken</i></br><b>Kopieer de token direct, deze wordt niet opnieuw weergegeven.</b></br><a href=""https://docs.piggy.eu/v3/oauth/authorization"">Meer info over Persoonlijke toegangstokens</a>"
"Shop Uuid","Winkel-UUID"
"Can be found under:</br><i>Settings > Management > Profiles > [Select Shop] > Information > Uuid</i>","Te vinden onder:</br><i>Instellingen > Beheer > Profielen > [Selecteer winkel] > Informatie > Uuid</i>"
"Test Connection","Test verbinding"
"Please save the configuration before testing connection.","Sla de configuratie op voordat u de verbinding test."
"Current state","Huidige status"
"Credits Display","Kredieten Weergave"
"Custom credit name","Aangepaste naam voor krediet"
"Click the button to fetch data from the API.","Klik op de knop om gegevens van de API op te halen."
"Show credits on Cart Page","Toon kredieten op winkelwagenpagina"
"Show credits on Checkout success Page","Toon kredieten op de afreken-bevestigingspagina"
"Order Configuration","Bestelconfiguratie"
"Enable Order Export","Exporteer bestellingen inschakelen"
"<b>Enabling order export makes customers eligible to earn points.</b></br>If this option is disabled, customers will not earn points for their purchases.</br>Customers will still be added to Leat upon their first purchase.</br></br>","<b>Exporteer bestellingen om klanten punten te laten verdienen.</b></br>Als deze optie uitgeschakeld is, verdienen klanten geen punten voor hun aankopen.</br>Klanten worden nog steeds toegevoegd aan Leat bij hun eerste aankoop.</br></br>"
"Allow export as Pending","Exporteer toestaan als 'In afwachting'"
